ad_id,campaign_name,ad_set_name,ad_date,impressions,clicks,ctr,spend,conversions,conversion_rate,cpa,roas,target_audience,platform,ad_format,objective
166,Auto Insurance Drive,Ad Set 4,2024-10-05,192005,3086,1.61,4244.53,329,10.66,12.9,2.62,Small Business Owners,Facebook,Stories,CONVERSIONS
167,Insurance Awareness Q3,Ad Set 8,2024-08-11,91786,4363,4.75,750.24,55,1.26,13.64,2.4,Young Families,Instagram,Single Image,CONVERSIONS
168,Home Defense Series,Ad Set 9,2025-03-13,132635,4675,3.52,7383.62,157,3.36,47.03,7.6,Small Business Owners,Facebook,Video,CONVERSIONS
169,Health Enrollment Push,Ad Set 6,2025-04-16,84622,1662,1.96,3561.53,209,12.58,17.04,7.76,Small Business Owners,Audience Network,Single Image,TRAFFIC
170,Life Insure Campaign,Ad Set 12,2024-06-26,135034,4123,3.05,8459.15,212,5.14,39.9,0.82,"Ages 35-60, Car Owners",Audience Network,Collection,BRAND_AWARENESS
171,Auto Insurance Drive,Ad Set 12,2024-11-19,192869,9384,4.87,7332.66,167,1.78,43.91,6.72,"Ages 25-40, Homeowners",Audience Network,Stories,BRAND_AWARENESS
172,Life Insure Campaign,Ad Set 14,2025-06-27,31029,534,1.72,5704.5,63,11.8,90.55,1.79,"Ages 35-60, Car Owners",Audience Network,Video,LEAD_GENERATION
173,Insurance Awareness Q3,Ad Set 10,2024-08-11,70235,3306,4.71,675.78,169,5.11,4.0,0.59,Senior Citizens,Audience Network,Stories,TRAFFIC
174,Health Enrollment Push,Ad Set 18,2024-12-31,45734,1144,2.5,7044.8,144,12.59,48.92,5.66,Frequent Travelers,Audience Network,Video,LEAD_GENERATION
175,Auto Insurance Drive,Ad Set 1,2024-06-25,84324,3976,4.72,9094.01,68,1.71,133.74,3.02,Small Business Owners,Instagram,Stories,BRAND_AWARENESS
176,Life Insure Campaign,Ad Set 18,2024-11-17,57665,1040,1.8,1385.35,45,4.33,30.79,2.25,"Ages 25-40, Homeowners",Facebook,Single Image,LEAD_GENERATION
177,Auto Insurance Drive,Ad Set 2,2025-03-31,87676,1227,1.4,2476.69,139,11.33,17.82,1.11,Frequent Travelers,Facebook,Video,TRAFFIC
178,Auto Insurance Drive,Ad Set 3,2025-04-02,184729,8358,4.52,1453.5,1008,12.06,1.44,3.13,Frequent Travelers,Audience Network,Stories,REACH
179,Life Insure Campaign,Ad Set 8,2025-06-26,37143,1318,3.55,8435.29,164,12.44,51.43,2.86,Small Business Owners,Facebook,Single Image,BRAND_AWARENESS
180,Life Insure Campaign,Ad Set 9,2024-07-22,143537,4434,3.09,6809.25,478,10.78,14.25,3.68,Senior Citizens,Audience Network,Collection,REACH
181,Health Enrollment Push,Ad Set 10,2025-04-15,19678,624,3.17,8922.43,38,6.09,234.8,5.85,Small Business Owners,Facebook,Carousel,TRAFFIC
182,Insurance Awareness Q3,Ad Set 14,2025-01-02,79567,1121,1.41,617.7,24,2.14,25.74,4.41,Small Business Owners,Instagram,Carousel,CONVERSIONS
183,Summer Travel Cover,Ad Set 3,2024-11-08,78053,2538,3.25,6345.02,37,1.46,171.49,7.23,Small Business Owners,Facebook,Single Image,LEAD_GENERATION
184,Life Insure Campaign,Ad Set 20,2024-09-12,68451,3016,4.41,780.26,274,9.08,2.85,1.56,"Ages 35-60, Car Owners",Audience Network,Stories,REACH
185,Summer Travel Cover,Ad Set 6,2024-08-27,41162,1276,3.1,7351.66,146,11.44,50.35,5.41,Senior Citizens,Facebook,Carousel,TRAFFIC
186,Health Enrollment Push,Ad Set 13,2024-08-15,155241,1612,1.04,8620.56,35,2.17,246.3,7.59,Senior Citizens,Facebook,Video,CONVERSIONS
187,Life Insure Campaign,Ad Set 14,2024-07-12,68903,764,1.11,6809.73,66,8.64,103.18,6.24,Frequent Travelers,Instagram,Stories,LEAD_GENERATION
188,Auto Insurance Drive,Ad Set 11,2024-11-16,62412,1709,2.74,1601.11,101,5.91,15.85,1.52,Senior Citizens,Instagram,Video,REACH
189,Insurance Awareness Q3,Ad Set 3,2025-02-11,192286,2643,1.37,5270.92,101,3.82,52.19,2.61,Small Business Owners,Audience Network,Video,TRAFFIC
190,Summer Travel Cover,Ad Set 6,2025-05-03,88506,1881,2.13,2134.02,40,2.13,53.35,2.51,Young Families,Facebook,Single Image,BRAND_AWARENESS
191,Insurance Awareness Q3,Ad Set 16,2024-06-21,179772,3607,2.01,2617.61,67,1.86,39.07,3.42,Small Business Owners,Audience Network,Video,BRAND_AWARENESS
192,Summer Travel Cover,Ad Set 7,2025-03-30,82644,819,0.99,3371.86,66,8.06,51.09,1.23,"Ages 25-40, Homeowners",Audience Network,Collection,TRAFFIC
193,Health Enrollment Push,Ad Set 17,2024-06-26,153826,3567,2.32,5436.29,53,1.49,102.57,6.54,Young Families,Instagram,Single Image,TRAFFIC
194,Summer Travel Cover,Ad Set 19,2024-09-19,109786,4515,4.11,3229.63,361,8.0,8.95,1.88,Frequent Travelers,Facebook,Collection,BRAND_AWARENESS
195,Summer Travel Cover,Ad Set 14,2025-02-05,101386,3606,3.56,1995.84,157,4.35,12.71,5.78,Frequent Travelers,Instagram,Carousel,LEAD_GENERATION
196,Summer Travel Cover,Ad Set 15,2024-07-25,88729,4067,4.58,2652.97,587,14.43,4.52,1.31,"Ages 25-40, Homeowners",Instagram,Collection,LEAD_GENERATION
197,Summer Travel Cover,Ad Set 12,2024-07-25,61427,1519,2.47,6705.11,24,1.58,279.38,3.39,Young Families,Audience Network,Carousel,TRAFFIC
198,Auto Insurance Drive,Ad Set 7,2025-01-13,59570,845,1.42,6402.8,13,1.54,492.52,6.75,Young Families,Facebook,Stories,LEAD_GENERATION
199,Summer Travel Cover,Ad Set 8,2024-11-27,148792,5648,3.8,6207.76,376,6.66,16.51,5.64,Small Business Owners,Instagram,Single Image,BRAND_AWARENESS
200,Health Enrollment Push,Ad Set 7,2024-11-23,74784,1524,2.04,619.17,23,1.51,26.92,7.93,"Ages 25-40, Homeowners",Facebook,Stories,REACH
